"","borough","neighborhood","building.class.category","tax.class.at.present","block","lot","ease.ment","building.class.at.present","address","apartment.number","zip.code","residential.units","commercial.units","total.units","land.square.feet","gross.square.feet","year.built","tax.class.at.time.of.sale","building.class.at.time.of.sale","sale.price","sale.date","sale.price.n","gross.sqft","land.sqft"
"6641",4,"FLUSHING-NORTH           ","01  ONE FAMILY DWELLINGS                    ","1",5535,65,NA,"A5","45-61 193RD   STREET                     ","            ",11358,1,0,1,2000,1600,1940,1,"A5","$ 650,500","2015-10-22",650500,1600,2000
"6643",4,"FLUSHING-NORTH           ","01  ONE FAMILY DWELLINGS                    ","1",5538,5,NA,"A5","196-16 45TH AVENUE                       ","            ",11358,1,0,1,3034,1584,1950,1,"A5","$ 775,000","2015-11-05",775000,1584,3034
"6645",4,"FLUSHING-NORTH           ","01  ONE FAMILY DWELLINGS                    ","1",5538,36,NA,"A2","196-73 45TH   ROAD                       ","            ",11358,1,0,1,5400,1175,1960,1,"A2","$ 945,000","2015-10-29",945000,1175,5400
"6647",4,"FLUSHING-NORTH           ","01  ONE FAMILY DWELLINGS                    ","1",5541,31,NA,"A2","45-63 196TH   PLACE                      ","            ",11358,1,0,1,4000,1114,1945,1,"A2","$ 615,000","2015-12-21",615000,1114,4000
"6648",4,"FLUSHING-NORTH           ","01  ONE FAMILY DWELLINGS                    ","1",5548,19,NA,"A1","46-15 192ND STREET                       ","            ",11358,1,0,1,4000,2400,1940,1,"A1","$ 883,500","2015-11-04",883500,2400,4000
"6649",4,"FLUSHING-NORTH           ","01  ONE FAMILY DWELLINGS                    ","1",5548,42,NA,"A5","46-24 193 STREET                         ","            ",11358,1,0,1,2000,1600,1935,1,"A5","$ 545,000","2015-12-21",545000,1600,2000
"6650",4,"FLUSHING-NORTH           ","01  ONE FAMILY DWELLINGS                    ","1",5549,10,NA,"A5","4637 193 STREET                          ","            ",11358,1,0,1,2000,1600,1935,1,"A5","$ 750,000","2016-04-06",750000,1600,2000
"6652",4,"FLUSHING-NORTH           ","01  ONE FAMILY DWELLINGS                    ","1",5550,31,NA,"A2","46-20 195TH   STREET                     ","            ",11358,1,0,1,4000,1290,1950,1,"A2","$ 490,000","2015-07-30",490000,1290,4000
"6653",4,"FLUSHING-NORTH           ","01  ONE FAMILY DWELLINGS                    ","1",5553,9,NA,"A2","46-21 196TH PLACE                        ","            ",11358,1,0,1,4200,1040,1955,1,"A2","$ 680,000","2015-05-20",680000,1040,4200
"6655",4,"FLUSHING-NORTH           ","01  ONE FAMILY DWELLINGS                    ","1",5563,5,NA,"A1","48-09 164TH   STREET                     ","            ",11365,1,0,1,5049,1430,1940,1,"A1","$ 725,000","2015-11-24",725000,1430,5049
"6657",4,"FLUSHING-NORTH           ","01  ONE FAMILY DWELLINGS                    ","1",5564,8,NA,"A1","47-27 166TH STREET                       ","            ",11358,1,0,1,4261,1500,1940,1,"A1","$ 735,000","2015-09-03",735000,1500,4261
"6658",4,"FLUSHING-NORTH           ","01  ONE FAMILY DWELLINGS                    ","1",5565,13,NA,"A1","47-15 167TH   STREET                     ","            ",11358,1,0,1,4000,2500,1965,1,"A1","$ 899,000","2015-12-11",899000,2500,4000
"6659",4,"FLUSHING-NORTH           ","01  ONE FAMILY DWELLINGS                    ","1",5567,34,NA,"A5","47-16 170TH   STREET                     ","            ",11358,1,0,1,3450,1944,1955,1,"A5","$ 156,485","2015-08-03",156485,1944,3450
"6660",4,"FLUSHING-NORTH           ","01  ONE FAMILY DWELLINGS                    ","1",5567,35,NA,"A5","47-18 170TH   STREET                     ","            ",11358,1,0,1,2100,1782,1955,1,"A5","$ 620,000","2016-01-04",620000,1782,2100
"6661",4,"FLUSHING-NORTH           ","01  ONE FAMILY DWELLINGS                    ","1",5568,14,NA,"A2","49-45 164TH   STREET                     ","            ",11365,1,0,1,3934,1078,1950,1,"A2","$ 685,000","2015-12-01",685000,1078,3934
"6663",4,"FLUSHING-NORTH           ","01  ONE FAMILY DWELLINGS                    ","1",5568,50,NA,"A1","49-30 166TH   STREET                     ","            ",11365,1,0,1,4000,1880,1950,1,"A1","$ 860,000","2015-09-10",860000,1880,4000
